"Product Name","Product Description","Brand Name"
"Basic Training Men's Crew Neck Tee","Fabric: 100% Polyester soft-hand interlock  Weight: 120 gsm / 3.55 oz  12 pcs prepacks available by size by color only Moisture management / anti-microbial technology Raglan cut shoulders for enhanced movement Side seam construction Double needle stitched hem / cuffs Tear-away neck label UPF 25 (White) UPF 35 (All Colors)","High five"
"Varsity Lightweight Drop-tail Long Sleeve Hoodie (Unisex)","Fabric: 94% Polyester / 6% Spandex cotton hand jersey  Weight: 180 gsm / 5.2 oz      Moisture management / anti-microbial technology     Raglan cut shoulders for enhanced movement     Double layered hood for maximum sun protection     Drop tail feature with edge taped binding detail     Shoulder to shoulder neck taping     Side seam construction     Double needle stitched hem /cuffs     Tear-away neck label     UPF 50+","Holloway"
"Varsity 3/4 Sleeve Baseball Tee","Fabric: 94% Polyester / 6% Spandex cotton hand jersey  Weight: 140 gsm / 4.15 oz      Moisture management / anti-microbial technology     Raglan cut shoulders for enhanced movement     Shoulder to shoulder neck taping     Side seam construction     Double needle stitched hem / cuffs     Tear-away neck label     UPF 20 (White) UPF 25 (All Colors)","High five"
